Disease,Method,K,Precision,Recall,F1
C0009402_Colorectal_Carcinoma,XG-PUL,2500,0.5876,0.3607563850687623,0.4470480827754108
C0009402_Colorectal_Carcinoma,XG-PUL,3000,0.5563333333333333,0.40987229862475444,0.4720022624434389
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,25,0.04,0.011235955056179775,0.017543859649122806
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,50,0.04,0.02247191011235955,0.02877697841726619
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,100,0.02,0.02247191011235955,0.021164021164021163
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,200,0.015,0.033707865168539325,0.020761245674740483
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,500,0.02,0.11235955056179775,0.03395585738539899
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,750,0.016,0.1348314606741573,0.028605482717520853
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,1000,0.016,0.1797752808988764,0.029384756657483926
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,1500,0.013333333333333334,0.2247191011235955,0.025173064820641914
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,2000,0.0135,0.30337078651685395,0.02584968884633796
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,2500,0.012,0.33707865168539325,0.023174971031286212
C0023893_Liver_Cirrhosis,XGDAG - GNNExplainer,3000,0.010333333333333333,0.34831460674157305,0.020071220459695692
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,25,0.04,0.011235955056179775,0.017543859649122806
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,50,0.04,0.02247191011235955,0.02877697841726619
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,100,0.02,0.02247191011235955,0.021164021164021163
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,200,0.015,0.033707865168539325,0.020761245674740483
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,500,0.022,0.12359550561797752,0.037351443123938885
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,750,0.02,0.16853932584269662,0.03575685339690108
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,1000,0.017,0.19101123595505617,0.03122130394857668
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,1500,0.014666666666666666,0.24719101123595505,0.027690371302706105
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,2000,0.0135,0.30337078651685395,0.02584968884633796
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,2500,0.012,0.33707865168539325,0.023174971031286212
C0023893_Liver_Cirrhosis,XGDAG - GraphSVX,3000,0.010333333333333333,0.34831460674157305,0.020071220459695692
C0023893_Liver_Cirrhosis,DIAMOnD,25,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,DIAMOnD,50,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,DIAMOnD,100,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,DIAMOnD,200,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,DIAMOnD,500,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,DIAMOnD,750,0.0026666666666666666,0.02247191011235955,0.004767580452920143
C0023893_Liver_Cirrhosis,DIAMOnD,1000,0.002,0.02247191011235955,0.003673094582185491
C0023893_Liver_Cirrhosis,DIAMOnD,1500,0.0013333333333333333,0.02247191011235955,0.0025173064820641915
C0023893_Liver_Cirrhosis,DIAMOnD,2000,0.001,0.02247191011235955,0.0019147917663954043
C0023893_Liver_Cirrhosis,DIAMOnD,2500,0.0008,0.02247191011235955,0.001544998068752414
C0023893_Liver_Cirrhosis,DIAMOnD,3000,0.0006666666666666666,0.02247191011235955,0.0012949174490126255
C0023893_Liver_Cirrhosis,MCL,25,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,MCL,50,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,MCL,100,0.03,0.033707865168539325,0.031746031746031744
C0023893_Liver_Cirrhosis,MCL,200,0.015,0.033707865168539325,0.020761245674740483
C0023893_Liver_Cirrhosis,MCL,500,0.008,0.0449438202247191,0.013582342954159592
C0023893_Liver_Cirrhosis,MCL,750,0.006666666666666667,0.056179775280898875,0.011918951132300359
C0023893_Liver_Cirrhosis,MCL,1000,0.006,0.06741573033707865,0.011019283746556472
C0023893_Liver_Cirrhosis,MCL,1500,0.006666666666666667,0.11235955056179775,0.012586532410320957
C0023893_Liver_Cirrhosis,MCL,2000,0.005,0.11235955056179775,0.009573958831977022
C0023893_Liver_Cirrhosis,MCL,2500,0.004,0.11235955056179775,0.00772499034376207
C0023893_Liver_Cirrhosis,MCL,3000,0.0033333333333333335,0.11235955056179775,0.006474587245063128
C0023893_Liver_Cirrhosis,RWR,25,0.0,0.0,0.0
C0023893_Liver_Cirrhosis,RWR,50,0.02,0.011235955056179775,0.014388489208633094
C0023893_Liver_Cirrhosis,RWR,100,0.03,0.033707865168539325,0.031746031746031744
C0023893_Liver_Cirrhosis,RWR,200,0.015,0.033707865168539325,0.020761245674740483
C0023893_Liver_Cirrhosis,RWR,500,0.018,0.10112359550561797,0.03056027164685908
C0023893_Liver_Cirrhosis,RWR,750,0.014666666666666666,0.12359550561797752,0.026221692491060787
C0023893_Liver_Cirrhosis,RWR,1000,0.013,0.14606741573033707,0.02387511478420569
C0023893_Liver_Cirrhosis,RWR,1500,0.012666666666666666,0.21348314606741572,0.02391441157960982
C0023893_Liver_Cirrhosis,RWR,2000,0.0115,0.25842696629213485,0.02202010531354715
C0023893_Liver_Cirrhosis,RWR,2500,0.01,0.2808988764044944,0.019312475859405175
C0023893_Liver_Cirrhosis,RWR,3000,0.009,0.30337078651685395,0.01748138556167044
C0023893_Liver_Cirrhosis,XG-PUL,25,0.28,0.07865168539325842,0.12280701754385967
C0023893_Liver_Cirrhosis,XG-PUL,50,0.18,0.10112359550561797,0.12949640287769787
C0023893_Liver_Cirrhosis,XG-PUL,100,0.1,0.11235955056179775,0.10582010582010581
C0023893_Liver_Cirrhosis,XG-PUL,200,0.075,0.16853932584269662,0.10380622837370243
C0023893_Liver_Cirrhosis,XG-PUL,500,0.056,0.3146067415730337,0.09507640067911716
C0023893_Liver_Cirrhosis,XG-PUL,750,0.048,0.4044943820224719,0.08581644815256258
C0023893_Liver_Cirrhosis,XG-PUL,1000,0.039,0.43820224719101125,0.07162534435261708
C0023893_Liver_Cirrhosis,XG-PUL,1500,0.03133333333333333,0.5280898876404494,0.0591567023285085
C0023893_Liver_Cirrhosis,XG-PUL,2000,0.025,0.5617977528089888,0.04786979415988511
C0023893_Liver_Cirrhosis,XG-PUL,2500,0.0216,0.6067415730337079,0.04171494785631519
C0023893_Liver_Cirrhosis,XG-PUL,3000,0.019333333333333334,0.651685393258427,0.03755260602136614
C0036341_Schizophrenia,XGDAG - GNNExplainer,25,0.32,0.004670169293636894,0.009205983889528193
C0036341_Schizophrenia,XGDAG - GNNExplainer,50,0.26,0.007589025102159953,0.01474758933635848
C0036341_Schizophrenia,XGDAG - GNNExplainer,100,0.28,0.01634559252772913,0.03088803088803089
C0036341_Schizophrenia,XGDAG - GNNExplainer,200,0.285,0.03327495621716287,0.059592263460533194
C0036341_Schizophrenia,XGDAG - GNNExplainer,500,0.222,0.0647985989492119,0.10031631269769543
C0036341_Schizophrenia,XGDAG - GNNExplainer,750,0.21333333333333335,0.09340338587273789,0.12992285830288267
C0036341_Schizophrenia,XGDAG - GNNExplainer,1000,0.196,0.11441914769410391,0.1444894950239587
C0036341_Schizophrenia,XGDAG - GNNExplainer,1500,0.17733333333333334,0.15528312901342672,0.1655773420479303
C0036341_Schizophrenia,XGDAG - GNNExplainer,2000,0.1625,0.18972562755399883,0.17506059789927284
C0036341_Schizophrenia,XGDAG - GNNExplainer,2500,0.1564,0.22825452422650322,0.18561595062900546
C0036341_Schizophrenia,XGDAG - GNNExplainer,3000,0.15066666666666667,0.2638645650904845,0.19180988754508804
C0036341_Schizophrenia,XGDAG - GraphSVX,25,0.32,0.004670169293636894,0.009205983889528193
C0036341_Schizophrenia,XGDAG - GraphSVX,50,0.26,0.007589025102159953,0.01474758933635848
C0036341_Schizophrenia,XGDAG - GraphSVX,100,0.28,0.01634559252772913,0.03088803088803089
C0036341_Schizophrenia,XGDAG - GraphSVX,200,0.285,0.03327495621716287,0.059592263460533194
C0036341_Schizophrenia,XGDAG - GraphSVX,500,0.224,0.06538237011091652,0.10122006326253954
